all_in;scenarios;year;fuel_share;count
;IATA - reference;2052;1;35
;IATA - reference;2053;1;36
;IATA - reference;2054;1;37
;IATA - reference;2055;1;38
;IATA - reference;2056;1;39
;IATA - reference;2057;1;40
;IATA - reference;2058;1;41
;IATA - reference;2059;1;42
;IATA - reference;2060;1;43
;IATA - reference;2061;1;44
;IATA - reference;2062;1;45
;IATA - reference;2063;1;46
;IATA - reference;2064;1;47
;IATA - reference;2065;1;48
;IATA - reference;2066;1;49
;IATA - reference;2067;1;50
;IATA - reference;2068;1;51
;IATA - reference;2069;1;52
;IATA - reference;2070;1;53
;IATA - reference;2071;1;54
;IATA - reference;2072;1;55
;IATA - reference;2073;1;56
;IATA - reference;2074;1;57
;IATA - reference;2075;1;58
;IATA - reference;2076;1;59
;IATA - reference;2077;1;60
;IATA - reference;2078;1;61
;IATA - reference;2079;1;62
;IATA - reference;2080;1;63
;IATA - reference;2081;1;64
;IATA - reference;2082;1;65
;IATA - reference;2083;1;66
;IATA - reference;2084;1;67
;IATA - reference;2085;1;68
;IATA - reference;2086;1;69
;IATA - reference;2087;1;70
;IATA - reference;2088;1;71
;IATA - reference;2089;1;72
;IATA - reference;2090;1;73
;IATA - reference;2091;1;74
;IATA - reference;2092;1;75
;IATA - reference;2093;1;76
;IATA - reference;2094;1;77
;IATA - reference;2095;1;78
;IATA - reference;2096;1;79
;IATA - reference;2097;1;80
;IATA - reference;2098;1;81
;IATA - reference;2099;1;82
;IATA - reference;2100;1;83
